ID,fecundity,type,Time,avgCount,variance,stdev
0,0.5,infecteds,10,37,25.78947368,5.078333751
1,0.5,infecteds,20,43.55,27.83947368,5.276312508
2,0.5,infecteds,30,44.55,44.15526316,6.644942675
3,0.5,infecteds,40,43.3,41.90526316,6.473427466
4,0.5,infecteds,50,41.35,38.97631579,6.243101456
5,0.5,infecteds,60,37.95,44.36578947,6.660764932
6,0.5,infecteds,70,34.8,61.95789474,7.871333733
7,0.5,infecteds,80,32.5,72.57894737,8.519327871
8,0.5,infecteds,90,29.6,64.77894737,8.048536971
9,0.5,infecteds,100,26.5,56.89473684,7.542859991
10,0.5,infecteds,110,23.95,51.83947368,7.19996345
11,0.5,infecteds,120,21.75,37.67105263,6.137674855
12,0.5,infecteds,130,19.75,33.35526316,5.775401558
13,0.5,infecteds,140,17.85,25.39736842,5.039580183
14,0.5,infecteds,150,16.2,17.74736842,4.212762564
15,0.5,infecteds,160,14.45,18.89210526,4.346504948
16,0.5,infecteds,170,13.25,14.09210526,3.753945293
17,0.5,infecteds,180,11.75,13.98684211,3.739898676
18,0.5,infecteds,190,10.15,9.923684211,3.150187964
19,0.5,infecteds,200,9.1,9.673684211,3.110254686
20,0.5,infecteds,210,8.1,7.884210526,2.807883638
21,0.5,infecteds,220,7.3,6.852631579,2.617753155
22,0.5,infecteds,230,6.35,5.502631579,2.345768867
23,0.5,infecteds,240,5.75,6.092105263,2.468219047
24,0.5,infecteds,250,4.9,5.989473684,2.447340124
25,0.5,infecteds,260,4.4,5.410526316,2.326053808
26,0.5,infecteds,270,4.1,5.042105263,2.245463262
27,0.5,infecteds,280,3.65,4.134210526,2.033275812
28,0.5,infecteds,290,3.55,3.628947368,1.904979624
29,0.5,infecteds,300,3.4,3.621052632,1.902906364
30,0.5,infecteds,310,2.8,2.484210526,1.576137851
31,0.5,infecteds,320,2.55,1.944736842,1.394538218
32,0.5,infecteds,330,2.3,1.589473684,1.260743306
33,0.5,infecteds,340,2.2,1.431578947,1.196486083
34,0.5,infecteds,350,1.9,1.673684211,1.293709477
35,0.5,infecteds,360,1.7,1.8,1.341640786
36,0.5,infecteds,370,1.2,1.642105263,1.281446551
37,0.5,infecteds,380,1,1.157894737,1.076055174
38,0.5,infecteds,390,0.85,0.976315789,0.988086934
39,0.5,infecteds,400,0.75,0.723684211,0.850696309
40,0.5,infecteds,410,0.7,0.747368421,0.864504726
41,0.5,infecteds,420,0.4,0.252631579,0.50262469
42,0.5,infecteds,430,0.4,0.252631579,0.50262469
43,0.5,infecteds,440,0.25,0.197368421,0.444261658
44,0.5,infecteds,450,0.25,0.197368421,0.444261658
45,0.5,infecteds,460,0.15,0.134210526,0.366347549
46,0.5,infecteds,470,0.15,0.134210526,0.366347549
47,0.5,infecteds,480,0.15,0.134210526,0.366347549
48,0.5,infecteds,490,0.15,0.134210526,0.366347549
49,0.5,infecteds,500,0.1,0.094736842,0.307793506
50,0.5,infecteds,510,0.1,0.094736842,0.307793506
51,0.5,infecteds,520,0.1,0.094736842,0.307793506
52,0.5,infecteds,530,0.1,0.094736842,0.307793506
53,0.5,infecteds,540,0.1,0.094736842,0.307793506
54,0.5,infecteds,550,0.1,0.094736842,0.307793506
55,0.5,infecteds,560,0.1,0.094736842,0.307793506
56,0.5,infecteds,570,0.1,0.094736842,0.307793506
57,0.5,infecteds,580,0.1,0.094736842,0.307793506
58,0.5,infecteds,590,0.05,0.05,0.223606798
59,0.5,infecteds,600,0.05,0.05,0.223606798
60,0.5,infecteds,610,0.05,0.05,0.223606798
61,0.5,infecteds,620,0.05,0.05,0.223606798
62,0.5,infecteds,630,0,0,0
63,0.5,infecteds,640,0,0,0
64,0.5,infecteds,650,0,0,0
65,0.5,infecteds,660,0,0,0
66,0.5,infecteds,670,0,0,0
67,0.5,infecteds,680,0,0,0
68,0.5,infecteds,690,0,0,0
69,0.5,infecteds,700,0,0,0
70,0.5,infecteds,710,0,0,0
71,0.5,infecteds,720,0,0,0
72,0.5,infecteds,730,0,0,0
73,0.5,infecteds,740,0,0,0
74,0.5,infecteds,750,0,0,0
75,0.5,infecteds,760,0,0,0
76,0.5,infecteds,770,0,0,0
77,0.5,infecteds,780,0,0,0
78,0.5,infecteds,790,0,0,0
79,0.5,infecteds,800,0,0,0
80,0.5,infecteds,810,0,0,0
81,0.5,infecteds,820,0,0,0
82,0.5,infecteds,830,0,0,0
83,0.5,infecteds,840,0,0,0
84,0.5,infecteds,850,0,0,0
85,0.5,infecteds,860,0,0,0
86,0.5,infecteds,870,0,0,0
87,0.5,infecteds,880,0,0,0
88,0.5,infecteds,890,0,0,0
89,0.5,infecteds,900,0,0,0
90,0.5,infecteds,910,0,0,0
91,0.5,infecteds,920,0,0,0
92,0.5,infecteds,930,0,0,0
93,0.5,infecteds,940,0,0,0
94,0.5,infecteds,950,0,0,0
95,0.5,infecteds,960,0,0,0
96,0.5,infecteds,970,0,0,0
97,0.5,infecteds,980,0,0,0
98,0.5,infecteds,990,0,0,0
99,0.5,infecteds,1000,0,0,0
100,0.5,infecteds,1010,0,0,0
101,0.5,infecteds,1020,0,0,0
102,0.5,infecteds,1030,0,0,0
103,0.5,infecteds,1040,0,0,0
104,0.5,infecteds,1050,0,0,0
105,0.5,infecteds,1060,0,0,0
106,0.5,infecteds,1070,0,0,0
107,0.5,infecteds,1080,0,0,0
108,0.5,infecteds,1090,0,0,0
109,0.5,infecteds,1100,0,0,0
110,0.5,infecteds,1110,0,0,0
111,0.5,infecteds,1120,0,0,0
112,0.5,infecteds,1130,0,0,0
113,0.5,infecteds,1140,0,0,0
114,0.5,infecteds,1150,0,0,0
115,0.5,infecteds,1160,0,0,0
116,0.5,infecteds,1170,0,0,0
117,0.5,infecteds,1180,0,0,0
118,0.5,infecteds,1190,0,0,0
119,0.5,infecteds,1200,0,0,0
120,0.5,infecteds,1210,0,0,0
121,0.5,infecteds,1220,0,0,0
122,0.5,infecteds,1230,0,0,0
123,0.5,infecteds,1240,0,0,0
124,0.5,infecteds,1250,0,0,0
125,0.5,infecteds,1260,0,0,0
126,0.5,infecteds,1270,0,0,0
127,0.5,infecteds,1280,0,0,0
128,0.5,infecteds,1290,0,0,0
129,0.5,infecteds,1300,0,0,0
130,0.5,infecteds,1310,0,0,0
131,0.5,infecteds,1320,0,0,0
132,0.5,infecteds,1330,0,0,0
133,0.5,infecteds,1340,0,0,0
134,0.5,infecteds,1350,0,0,0
135,0.5,infecteds,1360,0,0,0
136,0.5,infecteds,1370,0,0,0
137,0.5,infecteds,1380,0,0,0
138,0.5,infecteds,1390,0,0,0
139,0.5,infecteds,1400,0,0,0
140,0.5,infecteds,1410,0,0,0
141,0.5,infecteds,1420,0,0,0
142,0.5,infecteds,1430,0,0,0
143,0.5,infecteds,1440,0,0,0
144,0.5,infecteds,1450,0,0,0
145,0.5,infecteds,1460,0,0,0
146,0.5,infecteds,1470,0,0,0
147,0.5,infecteds,1480,0,0,0
148,0.5,infecteds,1490,0,0,0
149,0.5,infecteds,1500,0,0,0
150,0.5,infecteds,1510,0,0,0
151,0.5,infecteds,1520,0,0,0
152,0.5,infecteds,1530,0,0,0
153,0.5,infecteds,1540,0,0,0
154,0.5,infecteds,1550,0,0,0
155,0.5,infecteds,1560,0,0,0
156,0.5,infecteds,1570,0,0,0
157,0.5,infecteds,1580,0,0,0
158,0.5,infecteds,1590,0,0,0
159,0.5,infecteds,1600,0,0,0
160,0.5,infecteds,1610,0,0,0
161,0.5,infecteds,1620,0,0,0
162,0.5,infecteds,1630,0,0,0
163,0.5,infecteds,1640,0,0,0
164,0.5,infecteds,1650,0,0,0
165,0.5,infecteds,1660,0,0,0
166,0.5,infecteds,1670,0,0,0
167,0.5,infecteds,1680,0,0,0
168,0.5,infecteds,1690,0,0,0
169,0.5,infecteds,1700,0,0,0
170,0.5,infecteds,1710,0,0,0
171,0.5,infecteds,1720,0,0,0
172,0.5,infecteds,1730,0,0,0
173,0.5,infecteds,1740,0,0,0
174,0.5,infecteds,1750,0,0,0
175,0.5,infecteds,1760,0,0,0
176,0.5,infecteds,1770,0,0,0
177,0.5,infecteds,1780,0,0,0
178,0.5,infecteds,1790,0,0,0
179,0.5,infecteds,1800,0,0,0
180,0.5,infecteds,1810,0,0,0
181,0.5,infecteds,1820,0,0,0
182,0.5,infecteds,1830,0,0,0
183,0.5,infecteds,1840,0,0,0
184,0.5,infecteds,1850,0,0,0
185,0.5,infecteds,1860,0,0,0
186,0.5,infecteds,1870,0,0,0
187,0.5,infecteds,1880,0,0,0
188,0.5,infecteds,1890,0,0,0
189,0.5,infecteds,1900,0,0,0
190,0.5,infecteds,1910,0,0,0
191,0.5,infecteds,1920,0,0,0
192,0.5,infecteds,1930,0,0,0
193,0.5,infecteds,1940,0,0,0
194,0.5,infecteds,1950,0,0,0
195,0.5,infecteds,1960,0,0,0
196,0.5,infecteds,1970,0,0,0
197,0.5,infecteds,1980,0,0,0
198,0.5,infecteds,1990,0,0,0
199,0.5,infecteds,2000,0,0,0
200,0.5,infecteds,2010,0,0,0
201,0.5,infecteds,2020,0,0,0
202,0.5,infecteds,2030,0,0,0
203,0.5,infecteds,2040,0,0,0
204,0.5,infecteds,2050,0,0,0
205,0.5,infecteds,2060,0,0,0
206,0.5,infecteds,2070,0,0,0
207,0.5,infecteds,2080,0,0,0
208,0.5,infecteds,2090,0,0,0
209,0.5,infecteds,2100,0,0,0
210,0.5,infecteds,2110,0,0,0
211,0.5,infecteds,2120,0,0,0
212,0.5,infecteds,2130,0,0,0
213,0.5,infecteds,2140,0,0,0
214,0.5,infecteds,2150,0,0,0
215,0.5,infecteds,2160,0,0,0
216,0.5,infecteds,2170,0,0,0
217,0.5,infecteds,2180,0,0,0
218,0.5,infecteds,2190,0,0,0
219,0.5,infecteds,2200,0,0,0
220,0.5,infecteds,2210,0,0,0
221,0.5,infecteds,2220,0,0,0
222,0.5,infecteds,2230,0,0,0
223,0.5,infecteds,2240,0,0,0
224,0.5,infecteds,2250,0,0,0
225,0.5,infecteds,2260,0,0,0
226,0.5,infecteds,2270,0,0,0
227,0.5,infecteds,2280,0,0,0
228,0.5,infecteds,2290,0,0,0
229,0.5,infecteds,2300,0,0,0
230,0.5,infecteds,2310,0,0,0
231,0.5,infecteds,2320,0,0,0
232,0.5,infecteds,2330,0,0,0
233,0.5,infecteds,2340,0,0,0
234,0.5,infecteds,2350,0,0,0
235,0.5,infecteds,2360,0,0,0
236,0.5,infecteds,2370,0,0,0
237,0.5,infecteds,2380,0,0,0
238,0.5,infecteds,2390,0,0,0
239,0.5,infecteds,2400,0,0,0
240,0.5,infecteds,2410,0,0,0
241,0.5,infecteds,2420,0,0,0
242,0.5,infecteds,2430,0,0,0
243,0.5,infecteds,2440,0,0,0
244,0.5,infecteds,2450,0,0,0
245,0.5,infecteds,2460,0,0,0
246,0.5,infecteds,2470,0,0,0
247,0.5,infecteds,2480,0,0,0
248,0.5,infecteds,2490,0,0,0
249,0.5,infecteds,2500,0,0,0
250,0.5,infecteds,2510,0,0,0
251,0.5,infecteds,2520,0,0,0
252,0.5,infecteds,2530,0,0,0
253,0.5,infecteds,2540,0,0,0
254,0.5,infecteds,2550,0,0,0
255,0.5,infecteds,2560,0,0,0
256,0.5,infecteds,2570,0,0,0
257,0.5,infecteds,2580,0,0,0
258,0.5,infecteds,2590,0,0,0
259,0.5,infecteds,2600,0,0,0
260,0.5,infecteds,2610,0,0,0
261,0.5,infecteds,2620,0,0,0
262,0.5,infecteds,2630,0,0,0
263,0.5,infecteds,2640,0,0,0
264,0.5,infecteds,2650,0,0,0
265,0.5,infecteds,2660,0,0,0
266,0.5,infecteds,2670,0,0,0
